enriquecida_Barrio,propiedades,oportunidades_elegibles,indice_oportunidad_mediano,indice_oportunidad_p75,precio_m2_mediano,accesibilidad_media,pct_stock_mejorable,pct_descuento_fuerte,pct_oportunidades_elegibles
Palermo,623,293,41.12098668108752,55.04381007752916,2684.2105263157896,0.6684683113319682,11.556982343499197,26.484751203852326,47.03049759229535
Recoleta,489,226,36.447768963000975,49.7487801661341,2346.938775510204,0.7739500616813518,19.222903885480573,22.903885480572598,46.216768916155424
Belgrano,311,138,36.01831574541294,46.434414695729345,2725.8064516129034,0.6945574247939069,9.003215434083602,21.221864951768488,44.37299035369775
Colegiales,292,134,34.85995356451019,49.49853144470543,2959.6836419753085,0.6640701618897353,6.506849315068493,30.47945205479452,45.89041095890411
Villa Crespo,314,144,32.22173782343727,43.83700569565428,2281.5126050420167,0.7307100625736297,10.828025477707007,24.840764331210192,45.85987261146497
Caballito,317,149,32.18763678022689,43.47543423191878,2227.2727272727275,0.7371226756275173,9.14826498422713,21.766561514195583,47.003154574132495
Nuñez,165,68,31.956404167288476,39.28283326226162,2730.769230769231,0.6261234136224925,7.2727272727272725,14.545454545454545,41.21212121212121
Villa Urquiza,246,115,31.87704090390897,40.34634193289723,2500.0,0.6209658053624152,9.75609756097561,20.73170731707317,46.7479674796748
Coghlan,62,23,31.417710157454486,41.428641301515704,2530.434782608696,0.6830023279613362,9.67741935483871,19.35483870967742,37.096774193548384
Saavedra,197,84,30.10568003952685,41.470321644046656,2753.846153846154,0.5243430123006456,11.6751269035533,17.766497461928935,42.63959390862944
Retiro,177,71,29.029827953723377,43.48182581429502,2238.805970149254,0.7203784310561705,15.819209039548024,26.55367231638418,40.11299435028249
Balvanera,572,266,27.841116637367218,39.233028893601315,1679.1352093342484,0.7968000978950374,14.160839160839162,21.678321678321677,46.50349650349651
Puerto Madero,74,25,27.476992395806665,34.088417926450276,4785.8205782312925,0.5270833644415224,1.3513513513513513,20.27027027027027,33.78378378378378
Chacarita,89,41,27.159789736733376,44.79415829175474,2415.0,0.6837729531279051,7.865168539325842,29.213483146067414,46.06741573033708
Almagro,257,114,26.00698254614324,39.68953708134789,1972.5,0.7330652777014196,17.509727626459142,23.73540856031128,44.3579766536965
Flores,319,149,25.792277419177655,38.09999618929871,1916.6666666666667,0.6751019321735533,11.598746081504702,22.570532915360502,46.70846394984326
Villa Ortuzar,51,14,25.45938396983368,34.895495529196126,2391.304347826087,0.6803406456875498,9.803921568627452,13.725490196078432,27.450980392156865
Villa Pueyrredon,111,46,25.025521412686924,37.57425901265511,2257.1428571428573,0.5107187339584508,20.72072072072072,24.324324324324326,41.44144144144144
Parque Chas,37,12,24.83851314121767,30.47539983522195,2328.125,0.649078045336752,8.108108108108109,10.81081081081081,32.432432432432435
Parque Chacabuco,207,94,24.717769405768543,35.51173079783986,2200.0,0.6419051540798401,12.077294685990339,21.256038647342994,45.410628019323674
San Nicolas,217,96,23.62694854639721,32.94014261379963,1856.4356435643565,0.7176349614375048,17.050691244239633,20.737327188940093,44.23963133640553
Floresta,176,78,22.825115698032278,35.74563673595709,1968.2539682539682,0.6551450527247616,10.795454545454545,24.431818181818183,44.31818181818182
Villa Real,46,16,21.23977010375414,35.379372882845686,2215.5172413793102,0.4177198120276842,17.391304347826086,19.565217391304348,34.78260869565217
Monserrat,179,76,20.23314690414818,32.86617715714591,1595.2380952380952,0.7665267910853317,15.64245810055866,21.22905027932961,42.45810055865922
Villa Gral. Mitre,76,32,20.04137142547067,33.78655944931435,2012.3614024572971,0.6089945082571715,19.736842105263158,21.052631578947366,42.10526315789473
Villa Santa Rita,57,19,19.54061855667406,31.221852007131425,1865.6716417910447,0.5744110612993005,14.035087719298245,12.280701754385964,33.33333333333333
Constitucion,144,64,19.390023683592286,33.356964608320986,1581.0325476992143,0.7833129666002585,13.88888888888889,25.0,44.44444444444444
Villa Luro,117,48,19.157543496720113,31.814675619150346,2037.037037037037,0.4997796830152472,12.82051282051282,23.076923076923077,41.02564102564102
Barracas,178,79,19.135740092763147,35.19266651593128,1733.3099906629318,0.6768136086336962,16.292134831460675,26.96629213483146,44.38202247191011
Boedo,132,57,18.457693029811473,32.330478647233676,1786.0759493670887,0.7013864328530885,15.909090909090908,21.96969696969697,43.18181818181818
San Cristobal,80,33,18.3464685093732,32.80046320668036,1666.6666666666667,0.7875763251760258,20.0,21.25,41.25
Parque Patricios,95,39,18.073963548697904,27.425072914187957,1628.310898827616,0.744768511811114,13.684210526315791,14.736842105263156,41.05263157894737
Liniers,70,27,17.987316794681828,29.496608471594122,1934.659090909091,0.45980983331739317,15.714285714285714,27.142857142857142,38.57142857142858
Villa Del Parque,69,24,17.713537091748723,27.235132321238197,1950.0,0.44644655221832913,7.246376811594203,23.18840579710145,34.78260869565217
La Boca,90,37,17.54799012162873,37.02438020374819,1395.0829045168668,0.6928537518192271,27.77777777777778,30.0,41.11111111111111
San Telmo,48,20,17.526757771556046,30.368042912450132,1786.0759493670885,0.7328035058560376,14.583333333333334,25.0,41.66666666666667
Mataderos,81,31,17.313978581943957,31.201194733780707,2000.0,0.41479188328369804,11.11111111111111,29.629629629629626,38.2716049382716
Villa Devoto,107,46,16.59472581964914,30.80788268087148,2169.0140845070423,0.42760704096969,15.887850467289718,22.429906542056074,42.99065420560748
Villa Lugano,77,26,16.369586172051854,37.02243864553898,1872.2466960352424,0.3986265032519706,3.896103896103896,33.76623376623377,33.76623376623377
Villa Soldati,31,10,16.353213348234664,21.824668416953322,2090.6976744186045,0.47750246896991505,12.903225806451612,9.67741935483871,32.25806451612903
Monte Castro,66,25,13.63314590341225,26.1532936988784,1915.4761904761904,0.3645110789113349,6.0606060606060606,22.727272727272727,37.878787878787875
Velez Sarsfield,47,15,12.14808058041768,24.816828394237362,1709.090909090909,0.5356558924041973,8.51063829787234,23.404255319148938,31.914893617021278
